CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
1,47.0,Male,One year,96.61820219192376,2175.8965158378883,No,Fiber optic,22,Yes,Bank transfer,No
2,37.0,Male,Two year,102.50836990909977,1801.732084938794,No,No,17,No,Credit card,No
3,49.0,Female,Month-to-month,48.17038528650997,1633.983784928344,No,Fiber optic,33,No,Bank transfer,No
4,62.0,Female,One year,61.005916991205446,2930.100643790541,No,DSL,47,No,Bank transfer,No
5,36.0,Male,Two year,123.71390542321569,1820.1151649506387,No,DSL,15,No,Mailed check,No
6,36.0,Female,Month-to-month,121.9312114443542,4053.8272985101653,No,DSL,33,Yes,Mailed check,Yes
7,63.0,Female,One year,67.70234319047947,992.1672622023058,No,Fiber optic,15,Yes,Mailed check,No
8,51.0,Male,One year,88.0933427400548,2323.8048273419686,No,Fiber optic,27,No,Mailed check,No
9,32.0,Male,Month-to-month,90.71799614280505,5556.84030102702,Yes,Fiber optic,61,No,Electronic check,No
10,48.0,Male,Month-to-month,122.729338964606,8383.304746414027,No,No,68,Yes,Mailed check,No
11,33.0,Male,One year,80.3584116981423,3839.9910360794825,No,Fiber optic,48,No,Electronic check,Yes
12,33.0,Female,One year,33.631393035639086,271.4321271121564,No,No,8,Yes,Electronic check,No
13,43.0,Female,Month-to-month,55.71982214507407,369.4695133639208,No,DSL,6,Yes,Electronic check,Yes
14,21.0,Male,Month-to-month,150.0,9419.402713408534,No,No,63,Yes,Bank transfer,No
15,18.0,Male,Month-to-month,32.24136227896169,105.01522060321784,No,No,2,Yes,Bank transfer,No
16,31.0,Female,One year,71.5083736488274,1527.860288897653,No,DSL,22,Yes,Electronic check,No
17,24.0,Male,Month-to-month,139.40600320757358,2947.9151817481884,No,Fiber optic,21,No,Mailed check,No
18,44.0,Male,One year,46.00770274646642,215.595190286118,No,No,6,Yes,Electronic check,No
19,26.0,Male,Month-to-month,20.0,1467.2990052465268,Yes,Fiber optic,70,Yes,Bank transfer,No
